"Series Description","Monetary base; total; discontinued after Sept 9, 2020 on H.3, published on H.6 for dates thereafter; not seasonally adjusted","Monetary base; total balances maintained; discontinued after Sept 9, 2020 on H.3, published on H.6 for dates thereafter; not seasonally adjusted","Monetary base; currency in circulation;  discontinued after Sept 9, 2020 on H.3, published on H.6 for dates thereafter; not seasonally adjusted"
"Unit:","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000"
"Currency:","USD","USD","USD"
"Unique Identifier: ","H3/H3/RESMO14A_N.M","H3/H3/RESMOB14A_N.M","H3/H3/RESMOC14A_N.M"
"Time Period","RESMO14A_N.M","RESMOB14A_N.M","RESMOC14A_N.M"
1959-01,50463,18886,31573
1959-02,49805,18576,31234
1959-03,49733,18432,31301
1959-04,50058,18678,31379
1959-05,50112,18553,31559
1959-06,50337,18455,31882
1959-07,50802,18683,32119
1959-08,50661,18592,32069
1959-09,50722,18623,32099
1959-10,50660,18608,32053
1959-11,50877,18613,32264
1959-12,51504,18661,32843
1960-01,50661,18537,32123
1960-02,49609,17948,31661
1960-03,49482,17776,31706
1960-04,49656,17864,31792
1960-05,49734,17939,31795
1960-06,50015,18015,32000
1960-07,50455,18205,32250
1960-08,50279,18110,32168
1960-09,49920,17688,32232
1960-10,50130,17873,32257
1960-11,50251,17718,32533
1960-12,49763,16681,33082
1961-01,49103,16719,32384
1961-02,48441,16523,31918
1961-03,48362,16446,31916
1961-04,48455,16460,31994
1961-05,48494,16419,32075
1961-06,48875,16552,32323
1961-07,49216,16557,32658
1961-08,49334,16691,32644
1961-09,49599,16804,32794
1961-10,50032,17094,32938
1961-11,50484,17173,33311
1961-12,51281,17268,34013
1962-01,50603,17192,33411
1962-02,49841,16917,32924
1962-03,50024,16952,33072
1962-04,50365,17058,33307
1962-05,50543,17149,33393
1962-06,50908,17205,33703
1962-07,51314,17258,34056
1962-08,51175,17139,34037
1962-09,51322,17236,34086
1962-10,51552,17373,34179
1962-11,51344,16703,34641
1962-12,52257,16918,35339
1963-01,51635,16937,34698
1963-02,51013,16713,34301
1963-03,51206,16702,34505
1963-04,51489,16697,34792
1963-05,51702,16760,34941
1963-06,52195,16826,35369
1963-07,52768,16953,35814
1963-08,52600,16730,35870
1963-09,52910,16888,36022
1963-10,53117,16931,36186
1963-11,53775,17038,36737
1963-12,54913,17252,37661
1964-01,54238,17285,36952
1964-02,53472,17010,36462
1964-03,53830,17152,36678
1964-04,54052,17093,36959
1964-05,54273,17097,37176
1964-06,54940,17337,37603
1964-07,55426,17418,38008
1964-08,55427,17321,38106
1964-09,55887,17594,38293
1964-10,56162,17726,38436
1964-11,56786,17802,38984
1964-12,57737,17980,39757
1965-01,57138,18008,39130
1965-02,56508,17793,38715
1965-03,56696,17849,38847
1965-04,57089,18068,39021
1965-05,57165,18044,39121
1965-06,57761,18197,39564
1965-07,58407,18330,40078
1965-08,58192,18016,40176
1965-09,58574,18161,40413
1965-10,59137,18333,40804
1965-11,59614,18202,41413
1965-12,61022,18758,42264
1966-01,60520,18813,41706
1966-02,59751,18455,41296
1966-03,59933,18468,41464
1966-04,60510,18765,41745
1966-05,60631,18709,41923
1966-06,61102,18745,42357
1966-07,62064,19170,42894
1966-08,61734,18780,42954
1966-09,62359,19287,43072
1966-10,62603,19409,43194
1966-11,62993,19208,43785
1966-12,64185,19551,44634
1967-01,63850,19763,44087
1967-02,63282,19687,43595
1967-03,63166,19420,43746
1967-04,63274,19384,43889
1967-05,63382,19247,44135
1967-06,64005,19369,44636
1967-07,64821,19746,45074
1967-08,64699,19610,45090
1967-09,65225,19958,45267
1967-10,65894,20430,45464
1967-11,66453,20445,46007
1967-12,67818,20771,47047
1968-01,67698,21178,46520
1968-02,67213,21283,45930
1968-03,67521,21316,46206
1968-04,67953,21244,46709
1968-05,68077,21149,46928
1968-06,68874,21303,47571
1968-07,69700,21557,48143
1968-08,69887,21627,48260
1968-09,70048,21503,48545
1968-10,70830,22126,48704
1968-11,71727,22247,49481
1968-12,73139,22456,50683
1969-01,72865,23001,49864
1969-02,71978,22670,49308
1969-03,71768,22247,49521
1969-04,72361,22592,49769
1969-05,73358,23326,50032
1969-06,73509,22724,50785
1969-07,73725,22411,51315
1969-08,73773,22361,51412
1969-09,73780,22269,51510
1969-10,74436,22674,51762
1969-11,75569,23018,52551
1969-12,76752,23095,53658
1970-01,76398,23578,52820
1970-02,75237,23048,52189
1970-03,75276,22786,52491
1970-04,76294,23351,52943
1970-05,76649,23072,53577
1970-06,76900,22700,54200
1970-07,77960,23189,54771
1970-08,78227,23377,54850
1970-09,78684,23686,54998
1970-10,78691,23540,55151
1970-11,79468,23526,55942
1970-12,80987,23907,57079
1971-01,81170,24890,56280
1971-02,80565,24731,55834
1971-03,80788,24596,56191
1971-04,81641,24841,56800
1971-05,82405,25160,57244
1971-06,82894,24864,58030
1971-07,84184,25251,58932
1971-08,84079,25097,58982
1971-09,84431,25348,59083
1971-10,84692,25416,59275
1971-11,85491,25476,60015
1971-12,86798,25671,61127
1972-01,87220,26981,60238
1972-02,86081,26397,59684
1972-03,86656,26516,60140
1972-04,87888,27160,60728
1972-05,88543,27379,61163
1972-06,88896,27006,61890
1972-07,90075,27405,62669
1972-08,90098,27385,62713
1972-09,90193,27272,62921
1972-10,91423,28050,63373
1972-11,90531,26001,64530
1972-12,91381,25318,66063
1973-01,91688,26397,65291
1973-02,90275,25705,64570
1973-03,91118,26036,65082
1973-04,92586,26526,66060
1973-05,93118,26407,66711
1973-06,93732,26102,67630
1973-07,95575,27211,68364
1973-08,95828,27418,68409
1973-09,96226,27606,68620
1973-10,97484,28571,68912
1973-11,98343,28385,69958
1973-12,100143,28474,71669
1974-01,100376,29386,70990
1974-02,99063,28635,70428
1974-03,99604,28476,71128
1974-04,101743,29551,72192
1974-05,102777,29884,72894
1974-06,103597,29790,73808
1974-07,105054,30496,74558
1974-08,105046,30275,74771
1974-09,105292,30145,75147
1974-10,105704,30018,75686
1974-11,106933,29848,77085
1974-12,108640,29682,78957
1975-01,107745,29912,77833
1975-02,105511,28462,77050
1975-03,105693,27883,77810
1975-04,106816,28301,78515
1975-05,106989,27732,79257
1975-06,108423,27661,80762
1975-07,109501,27661,81840
1975-08,109092,27161,81930
1975-09,109203,27207,81996
1975-10,109675,27313,82362
1975-11,111096,27218,83879
1975-12,113125,27220,85905
1976-01,111925,27170,84755
1976-02,110558,26504,84053
1976-03,111255,26298,84957
1976-04,113093,26560,86533
1976-05,113566,26220,87346
1976-06,114411,25962,88448
1976-07,115579,26246,89333
1976-08,115533,26065,89468
1976-09,115573,25781,89792
1976-10,116554,26310,90244
1976-11,118343,26508,91835
1976-12,120337,26690,93647
1977-01,119677,27142,92535
1977-02,117818,26102,91716
1977-03,118719,25949,92770
1977-04,120646,26411,94235
1977-05,120979,26059,94920
1977-06,121804,25832,95972
1977-07,124091,26694,97396
1977-08,124180,26475,97705
1977-09,124425,26286,98139
1977-10,125749,26911,98837
1977-11,127607,26964,100642
1977-12,129915,27135,102780
1978-01,130211,28161,102050
1978-02,128671,27531,101140
1978-03,129110,27133,101978
1978-04,131177,27936,103241
1978-05,132255,27931,104324
1978-06,133606,27955,105651
1978-07,135708,28701,107007
1978-08,135209,28050,107159
1978-09,136211,28196,108015
1978-10,137572,28722,108850
1978-11,140734,29851,110883
1978-12,144721,31348,113373
1979-01,144328,31991,112337
1979-02,141606,30627,110979
1979-03,142293,30440,111853
1979-04,144410,30984,113426
1979-05,144494,30190,114304
1979-06,145889,29951,115938
1979-07,148136,30355,117781
1979-08,148568,30191,118377
1979-09,149585,30327,119258
1979-10,151533,31599,119934
1979-11,153809,32261,121548
1979-12,156653,32677,123977
1980-01,155995,32909,123086
1980-02,153896,32130,121766
1980-03,155032,32395,122637
1980-04,157858,34008,123850
1980-05,157915,32982,124933
1980-06,158922,32352,126571
1980-07,159940,31589,128351
1980-08,158388,29124,129264
1980-09,159391,29366,130025
1980-10,160925,30037,130887
1980-11,162049,28930,133119
1980-12,163376,27355,136021
1981-01,161080,27229,133851
1981-02,158982,26682,132299
1981-03,159765,26741,133023
1981-04,162371,27340,135031
1981-05,163200,27007,136193
1981-06,163929,26652,137277
1981-07,166041,27139,138902
1981-08,166116,27026,139090
1981-09,164686,25561,139125
1981-10,164972,25769,139203
1981-11,167230,25990,141240
1981-12,170681,26282,144399
1982-01,169811,26842,142969
1982-02,167490,26111,141379
1982-03,166219,24414,141805
1982-04,168703,24742,143961
1982-05,170045,24394,145651
1982-06,171679,24240,147439
1982-07,173381,24495,148886
1982-08,173975,24712,149263
1982-09,173383,23674,149709
1982-10,174957,24594,150363
1982-11,177469,25009,152460
1982-12,180717,25241,155476
1983-01,178899,24904,153995
1983-02,177044,24058,152986
1983-03,177320,22759,154561
1983-04,180038,23209,156829
1983-05,181386,22726,158660
1983-06,183320,22585,160734
1983-07,185279,22957,162321
1983-08,185438,22808,162630
1983-09,184936,21484,163452
1983-10,186416,22006,164410
1983-11,189064,21920,167144
1983-12,192191,22002,170189
1984-01,191350,22359,168991
1984-02,186839,19670,167169
1984-03,189122,20713,168409
1984-04,192249,21811,170438
1984-05,192820,20807,172013
1984-06,195695,21423,174272
1984-07,197492,21302,176190
1984-08,196735,20540,176195
1984-09,197898,21372,176526
1984-10,198076,21505,176570
1984-11,200592,22034,178557
1984-12,204812,23060,181752
1985-01,203177,23166,180011
1985-02,200224,21948,178275
1985-03,202719,23503,179216
1985-04,205511,24537,180974
1985-05,206691,23754,182937
1985-06,210250,24745,185505
1985-07,212277,24833,187444
1985-08,212802,24877,187924
1985-09,214674,26223,188451
1985-10,216000,26953,189047
1985-11,219498,28068,191430
1985-12,224722,29494,195229
1986-01,221697,28369,193328
1986-02,217759,26498,191262
1986-03,221355,28836,192519
1986-04,225063,30692,194371
1986-05,226423,30047,196376
1986-06,230141,31474,198667
1986-07,232992,32205,200787
1986-08,233236,32068,201168
1986-09,235110,33603,201507
1986-10,237005,34763,202242
1986-11,241953,36846,205107
1986-12,248625,39492,209133
1987-01,246971,38949,208021
1987-02,242453,35973,206480
1987-03,244774,37396,207378
1987-04,249579,39967,209612
1987-05,250593,38557,212036
1987-06,252859,38423,214436
1987-07,254802,38393,216409
1987-08,254559,37591,216968
1987-09,256258,38615,217643
1987-10,258112,39358,218754
1987-11,262358,39329,223029
1987-12,266878,39632,227246
1988-01,266252,39726,226526
1988-02,260724,36348,224377
1988-03,263388,37878,225510
1988-04,268448,40217,228231
1988-05,268823,38345,230478
1988-06,273081,39581,233500
1988-07,275836,39799,236037
1988-08,274808,38790,236017
1988-09,275231,38985,236246
1988-10,275440,38317,237123
1988-11,279159,38865,240294
1988-12,283789,39344,244445
1989-01,282165,38590,243575
1989-02,275271,34717,240554
1989-03,278788,36703,242085
1989-04,281630,37796,243835
1989-05,280583,34957,245627
1989-06,283671,35678,247992
1989-07,285701,35849,249852
1989-08,283854,34670,249184
1989-09,284036,35231,248805
1989-10,284238,35079,249159
1989-11,287814,36001,251813
1989-12,294323,37558,256765
1990-01,293132,36311,256821
1990-02,287719,33027,254692
1990-03,292402,35580,256822
1990-04,297404,37464,259939
1990-05,297279,34891,262387
1990-06,301742,35775,265966
1990-07,303888,34949,268939
1990-08,305147,34549,270598
1990-09,308033,35294,272739
1990-10,308764,34159,274605
1990-11,313670,35400,278270
1990-12,315270,32343,282927
1991-01,309597,25036,284561
1991-02,306945,22659,284286
1991-03,311089,24709,286380
1991-04,314068,26606,287463
1991-05,314339,25552,288787
1991-06,318071,26915,291155
1991-07,319987,26570,293417
1991-08,320051,26168,293883
1991-09,321825,27269,294556
1991-10,323057,27294,295763
1991-11,328415,29270,299145
1991-12,335415,30947,304467
1992-01,333149,29890,303259
1992-02,331242,29567,301675
1992-03,335595,32776,302820
1992-04,333124,27631,305493
1992-05,334541,26432,308109
1992-06,337098,26600,310498
1992-07,340424,26892,313532
1992-08,342727,26970,315757
1992-09,346903,28390,318513
1992-10,349808,29444,320364
1992-11,355924,31480,324444
1992-12,361903,31418,330486
1993-01,360650,30373,330277
1993-02,359533,30032,329501
1993-03,362723,31096,331628
1993-04,368849,33481,335367
1993-05,370845,32262,338583
1993-06,375841,32864,342978
1993-07,379121,32932,346189
1993-08,380892,32741,348151
1993-09,384705,33583,351123
1993-10,388226,34916,353310
1993-11,391960,35379,356581
1993-12,398638,36191,362447
1994-01,397786,34866,362920
1994-02,397926,34111,363815
1994-03,400752,34000,366752
1994-04,406948,36084,370864
1994-05,407088,32880,374208
1994-06,411591,32508,379083
1994-07,415010,31959,383050
1994-08,415263,30954,384309
1994-09,416866,30266,386600
1994-10,418679,29691,388988
1994-11,423063,29438,393625
1994-12,428489,29483,399006
1995-01,426222,26989,399233
1995-02,422895,26192,396704
1995-03,427727,27124,400603
1995-04,433540,28409,405131
1995-05,434008,25794,408214
1995-06,434846,25413,409433
1995-07,435915,25249,410666
1995-08,435546,25180,410365
1995-09,436332,25191,411141
1995-10,436570,25023,411546
1995-11,439093,25257,413836
1995-12,445840,26125,419715
1996-01,441733,23917,417816
1996-02,435714,22858,412856
1996-03,440455,24496,415959
1996-04,443376,25151,418225
1996-05,443014,23058,419955
1996-06,446423,22728,423695
1996-07,449831,21747,428084
1996-08,450911,21253,429658
1996-09,451954,20246,431708
1996-10,452496,19785,432711
1996-11,457010,19925,437085
1996-12,464955,20615,444340
1997-01,462505,19211,443293
1997-02,459914,18872,441042
1997-03,462300,18750,443549
1997-04,465478,19557,445921
1997-05,467038,18358,448680
1997-06,469816,17895,451921
1997-07,473111,17276,455835
1997-08,474323,17633,456690
1997-09,475441,16800,458641
1997-10,477667,16993,460674
1997-11,484618,17704,466914
1997-12,493078,17728,475350
1998-01,491235,17096,474139
1998-02,488420,16686,471734
1998-03,491007,17231,473776
1998-04,494118,17949,476170
1998-05,495231,16334,478897
1998-06,498108,16610,481498
1998-07,502446,16512,485934
1998-08,504866,16608,488258
1998-09,508591,16125,492466
1998-10,512552,16103,496450
1998-11,518349,15665,502684
1998-12,526435,15969,510467
1999-01,527870,17391,510480
1999-02,526387,15830,510557
1999-03,531013,16150,514862
1999-04,535171,15940,519230
1999-05,540620,17029,523591
1999-06,544016,15628,528388
