DATE,CPALTT01USM659N
1960-01-01,1.034482759
1960-02-01,1.730103806
1960-03-01,1.730103806
1960-04-01,1.724137931
1960-05-01,1.724137931
1960-06-01,1.718213058
1960-07-01,1.369863014
1960-08-01,1.369863014
1960-09-01,1.023890785
1960-10-01,1.360544218
1960-11-01,1.360544218
1960-12-01,1.360544218
1961-01-01,1.706484642
1961-02-01,1.360544218
1961-03-01,1.360544218
1961-04-01,1.016949153
1961-05-01,1.016949153
1961-06-01,0.675675676
1961-07-01,1.351351351
1961-08-01,1.013513514
1961-09-01,1.351351351
1961-10-01,0.67114094
1961-11-01,0.67114094
1961-12-01,0.67114094
1962-01-01,0.67114094
1962-02-01,1.006711409
1962-03-01,1.006711409
1962-04-01,1.342281879
1962-05-01,1.342281879
1962-06-01,1.342281879
1962-07-01,1.0
1962-08-01,1.337792642
1962-09-01,1.333333333
1962-10-01,1.333333333
1962-11-01,1.333333333
1962-12-01,1.333333333
1963-01-01,1.333333333
1963-02-01,0.996677741
1963-03-01,1.328903654
1963-04-01,0.993377483
1963-05-01,0.993377483
1963-06-01,1.324503311
1963-07-01,1.320132013
1963-08-01,1.320132013
1963-09-01,0.986842105
1963-10-01,1.315789474
1963-11-01,1.315789474
1963-12-01,1.644736842
1964-01-01,1.644736842
1964-02-01,1.644736842
1964-03-01,1.31147541
1964-04-01,1.31147541
1964-05-01,1.31147541
1964-06-01,1.307189542
1964-07-01,1.302931596
1964-08-01,0.977198697
1964-09-01,1.302931596
1964-10-01,0.974025974
1964-11-01,1.298701299
1964-12-01,0.970873786
1965-01-01,0.970873786
1965-02-01,0.970873786
1965-03-01,1.294498382
1965-04-01,1.618122977
1965-05-01,1.618122977
1965-06-01,1.935483871
1965-07-01,1.607717042
1965-08-01,1.935483871
1965-09-01,1.607717042
1965-10-01,1.92926045
1965-11-01,1.602564103
1965-12-01,1.923076923
1966-01-01,1.923076923
1966-02-01,2.564102564
1966-03-01,2.555910543
1966-04-01,2.866242038
1966-05-01,2.866242038
1966-06-01,2.53164557
1966-07-01,2.848101266
1966-08-01,3.481012658
1966-09-01,3.481012658
1966-10-01,3.785488959
1966-11-01,3.785488959
1966-12-01,3.459119497
1967-01-01,3.459119497
1967-02-01,2.8125
1967-03-01,2.803738318
1967-04-01,2.476780186
1967-05-01,2.786377709
1967-06-01,2.777777778
1967-07-01,2.769230769
1967-08-01,2.44648318
1967-09-01,2.752293578
1967-10-01,2.431610942
1967-11-01,2.73556231
1967-12-01,3.039513678
1968-01-01,3.647416413
1968-02-01,3.951367781
1968-03-01,3.939393939
1968-04-01,3.927492447
1968-05-01,3.915662651
1968-06-01,4.204204204
1968-07-01,4.491017964
1968-08-01,4.47761194
1968-09-01,4.464285714
1968-10-01,4.747774481
1968-11-01,4.733727811
1968-12-01,4.719764012
1969-01-01,4.398826979
1969-02-01,4.678362573
1969-03-01,5.247813411
1969-04-01,5.523255814
1969-05-01,5.507246377
1969-06-01,5.475504323
1969-07-01,5.444126074
1969-08-01,5.714285714
1969-09-01,5.698005698
1969-10-01,5.66572238
1969-11-01,5.93220339
1969-12-01,6.197183099
1970-01-01,6.179775281
1970-02-01,6.145251397
1970-03-01,5.817174515
1970-04-01,6.060606061
1970-05-01,6.043956044
1970-06-01,6.010928962
1970-07-01,5.97826087
1970-08-01,5.405405405
1970-09-01,5.660377358
1970-10-01,5.63002681
1970-11-01,5.6
1970-12-01,5.570291777
1971-01-01,5.291005291
1971-02-01,5
1971-03-01,4.712041885
1971-04-01,4.155844156
1971-05-01,4.404145078
1971-06-01,4.639175258
1971-07-01,4.358974359
1971-08-01,4.615384615
1971-09-01,4.081632653
1971-10-01,3.807106599
1971-11-01,3.282828283
1971-12-01,3.266331658
1972-01-01,3.266331658
1972-02-01,3.50877193
1972-03-01,3.5
1972-04-01,3.49127182
1972-05-01,3.225806452
1972-06-01,2.709359606
1972-07-01,2.948402948
1972-08-01,2.941176471
1972-09-01,3.18627451
1972-10-01,3.422982885
1972-11-01,3.667481663
1972-12-01,3.406326034
1973-01-01,3.649635036
1973-02-01,3.87409201
1973-03-01,4.589371981
1973-04-01,5.060240964
1973-05-01,5.528846154
1973-06-01,5.995203837
1973-07-01,5.727923628
1973-08-01,7.380952381
1973-09-01,7.363420428
1973-10-01,7.80141844
1973-11-01,8.254716981
1973-12-01,8.705882353
1974-01-01,9.389671362
1974-02-01,10.02331002
1974-03-01,10.3926097
1974-04-01,10.09174312
1974-05-01,10.70615034
1974-06-01,10.85972851
1974-07-01,11.51241535
1974-08-01,10.86474501
1974-09-01,11.94690265
1974-10-01,12.06140351
1974-11-01,12.20043573
1974-12-01,12.33766234
1975-01-01,11.80257511
1975-02-01,11.22881356
1975-03-01,10.25104603
1975-04-01,10.20833333
1975-05-01,9.465020576
1975-06-01,9.387755102
1975-07-01,9.71659919
1975-08-01,8.6
1975-09-01,7.90513834
1975-10-01,7.436399217
1975-11-01,7.378640777
1975-12-01,6.936416185
1976-01-01,6.717850288
1976-02-01,6.285714286
1976-03-01,6.072106262
1976-04-01,6.049149338
1976-05-01,6.203007519
1976-06-01,5.970149254
1976-07-01,5.350553506
1976-08-01,5.709023941
1976-09-01,5.494505495
1976-10-01,5.464480874
1976-11-01,4.882459313
1976-12-01,4.864864865
1977-01-01,5.215827338
1977-02-01,5.913978495
1977-03-01,6.440071556
1977-04-01,6.951871658
1977-05-01,6.725663717
1977-06-01,6.866197183
1977-07-01,6.830122592
1977-08-01,6.620209059
